:START_ID,:END_ID,:TYPE,source_file,evidence
大熊猫与熊科其他成员,2000万年前,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,大熊猫与熊科其他成员（如棕熊、黑熊）的共同祖先生活在约2000万年前
大熊猫,700万年前,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,化石证据显示，大熊猫的祖先（如始熊猫）在约700万年前就开始转向植食性，200万年前已高度依赖竹子。
大熊猫,200万年前,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,化石证据显示，大熊猫的祖先（如始熊猫）在约700万年前就开始转向植食性，200万年前已高度依赖竹子。
大熊猫,300万年,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,其基因组研究表明，大熊猫在过去300万年中经历了多次种群扩张和收缩
大熊猫,黄喉貂,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,大熊猫有天敌：豺、豹、黄喉貂等，尤其对幼崽构成威胁。
大熊猫幼崽,100-150克,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900）
大熊猫幼崽,1/900,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900）
大熊猫,12-38公斤,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,它们每天摄入大量竹子（12-38公斤）
圈养大熊猫,苹果,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,圈养大熊猫会额外补充苹果、胡萝卜、特制窝窝头（含维生素、矿物质）
圈养大熊猫,胡萝卜,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,圈养大熊猫会额外补充苹果、胡萝卜、特制窝窝头（含维生素、矿物质）
圈养大熊猫,特制窝窝头,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,圈养大熊猫会额外补充苹果、胡萝卜、特制窝窝头（含维生素、矿物质）
野生大熊猫,四川,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,陕西,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,甘肃,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,秦岭,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,岷山,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,邛崃山,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
野生大熊猫,凉山,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫辟谣汇总_仅辟谣.md,野生大熊猫分布于四川、陕西和甘肃的山区，包括秦岭、岷山、邛崃山、凉山等山系。
