:START_ID,:END_ID,:TYPE,source_file,evidence,category
大熊猫,伪拇指,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,发展出伪拇指（抓握竹子）、头骨和下颌肌肉强化（研磨竹子）、消化系统调整（肠道菌群适应纤维素分解）。,熊猫谣言
大熊猫,头骨和下颌肌肉强化,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,发展出伪拇指（抓握竹子）、头骨和下颌肌肉强化（研磨竹子）、消化系统调整（肠道菌群适应纤维素分解）。,熊猫谣言
大熊猫,消化系统调整,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,发展出伪拇指（抓握竹子）、头骨和下颌肌肉强化（研磨竹子）、消化系统调整（肠道菌群适应纤维素分解）。,熊猫谣言
大熊猫,特殊肠道菌群（能分解纤维素）,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,拥有特殊的肠道菌群（能分解纤维素）、强壮的咀嚼肌和牙齿。,熊猫谣言
大熊猫,强壮的咀嚼肌和牙齿,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,拥有特殊的肠道菌群（能分解纤维素）、强壮的咀嚼肌和牙齿。,熊猫谣言
伪拇指,腕骨特化形成的第六指,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,伪拇指是腕骨特化形成的第六指，专门用于抓握竹子。,熊猫谣言
伪拇指,抓握竹子,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,伪拇指是腕骨特化形成的第六指，专门用于抓握竹子。,熊猫谣言
大熊猫,延迟着床,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900），这是熊科动物的普遍特征（延迟着床、短妊娠期）。,熊猫谣言
大熊猫,短妊娠期,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900），这是熊科动物的普遍特征（延迟着床、短妊娠期）。,熊猫谣言
大熊猫幼崽,100-150克,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900）,熊猫谣言
大熊猫幼崽,1/900,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,是母体的1/900,熊猫谣言
大熊猫,12-38公斤,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,它们每天摄入大量竹子（12-38公斤）,熊猫谣言
大熊猫,竹笋,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,通过选择性食用高营养部位（竹笋、嫩叶）,熊猫谣言
大熊猫,嫩叶,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,通过选择性食用高营养部位（竹笋、嫩叶）,熊猫谣言
大熊猫,竹子残渣,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,网传“宝力”臀部流出“白线虫”实际上是竹子残渣，属于正常生理现象。大熊猫的消化系统无法完全分解竹子纤维，排泄物中残留竹子残渣是正常现象。,熊猫谣言
大熊猫,无法完全分解竹子纤维,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫的消化系统无法完全分解竹子纤维,熊猫谣言
大熊猫,肌肉放松或体温调节,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫在休息或进食后可能出现身体轻微抖动，这通常是肌肉放松或体温调节的正常表现，并非疾病或虐待所致。,熊猫谣言
大熊猫,10-12小时,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,大熊猫每天睡眠约10-12小时，其余时间主要进食和活动。,熊猫谣言
大熊猫,10-16小时,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,由于竹子能量低，它们需要长时间进食（每天10-16小时）,熊猫谣言
大熊猫,1次,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,每年仅发情1次（春季），发情期极短（1-3天）,熊猫谣言
大熊猫,1-3天,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,每年仅发情1次（春季），发情期极短（1-3天）,熊猫谣言
圈养大熊猫幼崽,1岁左右,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,圈养大熊猫幼崽通常在6-9个月龄开始逐步断奶，但**完全断奶一般在1岁左右**，与野生环境下基本一致（野生幼崽约1-1.5岁断奶）。,熊猫谣言
野生大熊猫幼崽,1-1.5岁,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,圈养大熊猫幼崽通常在6-9个月龄开始逐步断奶，但**完全断奶一般在1岁左右**，与野生环境下基本一致（野生幼崽约1-1.5岁断奶）。,熊猫谣言
大熊猫,22岁,RELATED_TO,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,丫丫的消瘦主要源于**老年疾病**（当时已22岁，相当于人类70-80岁），包括慢性肠炎、牙齿磨损导致的进食困难，以及季节性脱毛。,熊猫谣言
大熊猫,70-80岁,22,D:\panda\docs\熊猫谣言\大熊猫辟谣汇总_仅辟谣.md,丫丫的消瘦主要源于**老年疾病**（当时已22岁，相当于人类70-80岁）,熊猫谣言
