id:ID,name,:LABEL
1-1.5岁,1-1.5岁,Other
1-3天,1-3天,Other
10-12小时,10-12小时,Other
10-16小时,10-16小时,Other
100-150克,100-150克,Other
12-38公斤,12-38公斤,Other
1岁左右,1岁左右,Other
1次,1次,Other
6-9个月龄,6-9个月龄,Other
与棕熊相当,与棕熊相当,Other
伪拇指,伪拇指,Entity
促性腺激素,促性腺激素,Treatment
全身麻醉,全身麻醉,Treatment
发情期（雄性间争斗）,发情期（雄性间争斗）,Behavior
受惊,受惊,Behavior
圈养大熊猫幼崽,圈养大熊猫幼崽,Entity
圈养大熊猫繁殖,圈养大熊猫繁殖,Entity
外源激素,外源激素,Entity
大熊猫,大熊猫,PandaKind
大熊猫幼崽,大熊猫幼崽,Entity
大熊猫消化系统,大熊猫消化系统,Entity
大熊猫粪便,大熊猫粪便,Entity
大熊猫身体轻微抖动,大熊猫身体轻微抖动,Entity
幼崽,幼崽,Biology
抓握竹子,抓握竹子,Behavior
护崽,护崽,Behavior
排泄物中残留竹子残渣,排泄物中残留竹子残渣,Biology
无法完全分解竹子纤维,无法完全分解竹子纤维,Biology
无痛感、无意识,无痛感、无意识,Biology
未完全消化的竹纤维,未完全消化的竹纤维,Biology
母体的1/900,母体的1/900,Other
母兽带崽,母兽带崽,Entity
消化系统无法完全分解竹子纤维,消化系统无法完全分解竹子纤维,Entity
消化系统调整,消化系统调整,Entity
激素监测,激素监测,Entity
电刺激采精,电刺激采精,Entity
电极强度极低（类似物理治疗中的微电流）,电极强度极低（类似物理治疗中的微电流）,Biology
粪便或尿液中的激素代谢物,粪便或尿液中的激素代谢物,Biology
精准调控,精准调控,Other
纤维较短且杂质多,纤维较短且杂质多,Biology
肌肉放松或体温调节,肌肉放松或体温调节,Biology
肠道菌群适应纤维素分解,肠道菌群适应纤维素分解,Biology
被困,被困,Behavior
觅食,觅食,Behavior
识别同类,识别同类,Behavior
避敌,避敌,Behavior
野生大熊猫幼崽,野生大熊猫幼崽,Entity
